"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.779",1060,1189,1188,1196,1173,1308,1187,1294,1274,1510
"MSTRG.780",4,11,55,44,25,21,12,41,30,66
"MSTRG.781",215,399,496,901,1501,423,621,1087,999,1731
"MSTRG.782",170,216,216,311,862,200,209,552,493,252
"MSTRG.783",0,0,0,0,0,0,0,0,0,0
"MSTRG.784",0,0,0,0,0,0,0,0,0,0
"MSTRG.785",9,3,1,1,0,0,3,2,0,2
"MSTRG.786",2,1,2,1,1,0,0,0,1,7
"MSTRG.787",223,195,185,142,145,278,181,172,201,214
"MSTRG.788",0,0,0,0,0,0,0,0,0,0
"MSTRG.789",81,99,70,80,70,117,113,61,78,26
"MSTRG.790",75,79,92,95,100,69,114,71,132,102
"MSTRG.791",0,0,1,0,0,0,0,0,0,2
"MSTRG.792",580,466,396,339,143,394,366,291,327,160
"MSTRG.793",20,10,10,22,8,12,17,11,15,4
"MSTRG.794",3,5,6,11,11,4,2,10,8,7
"MSTRG.795",0,0,0,0,0,0,0,0,0,0
"MSTRG.796",0,0,0,0,0,0,0,0,0,0
"MSTRG.797",0,0,0,0,0,0,1,0,0,0
"MSTRG.798",57,29,33,41,53,47,34,20,46,48
"MSTRG.799",29,37,26,20,19,35,20,25,31,35
"MSTRG.800",0,0,0,1,7,0,0,2,1,5
"MSTRG.801",71,137,295,330,1378,123,226,318,361,1921
"MSTRG.802",0,0,1,3,1,0,1,0,0,0
"MSTRG.803",22,31,41,65,101,13,38,29,57,99
"MSTRG.804",547,518,602,703,2975,581,724,991,1156,3966
"MSTRG.805",7,3,4,2,0,1,0,0,0,0
"MSTRG.806",63,43,27,8,0,9,13,5,0,0
"MSTRG.807",558,665,608,775,452,504,518,619,672,596
"MSTRG.808",19,20,19,22,15,19,17,13,29,16
"MSTRG.809",142,162,164,148,179,136,160,102,124,160
"MSTRG.810",450,403,339,416,456,431,406,441,501,391
"MSTRG.811",27,29,17,27,42,40,29,34,32,61
"MSTRG.812",469,360,369,304,228,352,319,265,345,248
"MSTRG.813",2,3,0,1,2,3,1,3,2,1
"MSTRG.814",0,0,2,1,0,0,2,0,4,2
"MSTRG.815",0,0,0,0,0,0,1,0,0,0
"MSTRG.816",1,7,12,5,7,6,15,9,6,2
"MSTRG.817",390,362,436,436,436,424,357,329,412,277
"MSTRG.818",1180,1094,894,906,650,1372,1004,562,976,1128
"MSTRG.819",400,327,319,407,197,402,293,330,347,216
"MSTRG.820",0,0,0,1,0,0,1,0,1,0
"MSTRG.821",1,8,2,0,0,4,4,1,2,0
"MSTRG.822",503,470,412,492,382,511,470,604,588,344
"MSTRG.823",6,2,2,3,4,5,1,12,8,42
"MSTRG.824",28,52,19,28,13,21,56,9,34,10
"MSTRG.825",4,4,9,6,6,7,4,6,5,9
"MSTRG.826",128,77,101,73,138,233,139,132,126,385
"MSTRG.827",0,1,0,0,0,0,0,0,0,5
"MSTRG.828",6,5,2,10,6,5,11,5,7,6
"MSTRG.829",1,0,1,0,1,1,5,2,2,12
"MSTRG.830",14864,14073,16260,15621,21183,13483,14886,14660,17743,33958
"MSTRG.831",443,468,950,780,2740,629,672,822,857,6470
"MSTRG.832",126,54,34,17,3,46,3,13,6,4
"MSTRG.833",788,806,619,813,1289,1085,986,1529,1358,1758
"MSTRG.834",1171,1016,864,834,821,957,845,686,849,937
"MSTRG.835",57,69,98,74,14,5,6,0,1,0
"MSTRG.836",0,0,0,0,0,1,1,0,1,1
"MSTRG.837",0,11,65,2,1,116,107,20,150,39
"MSTRG.838",0,0,0,0,0,1,0,0,0,0
"MSTRG.839",0,0,0,0,0,0,0,0,0,0
"MSTRG.840",1,0,1,0,0,6,2,0,3,2
"MSTRG.841",1248,1250,1299,1204,787,1696,1328,835,1147,1402
"MSTRG.842",0,0,0,0,0,0,0,0,0,0
"MSTRG.843",4,2,0,1,2,2,4,0,3,2
"MSTRG.844",2261,3051,3533,3167,1227,2533,3339,3728,3662,1683
"MSTRG.845",109,135,64,65,108,92,122,117,130,148
"MSTRG.846",506,432,399,372,250,394,290,227,211,225
"MSTRG.847",684,634,395,348,357,402,564,469,390,526
"MSTRG.848",115,195,268,308,151,202,273,372,430,91
"MSTRG.849",1212,1644,1584,1767,1774,1261,1712,2058,1848,1107
"MSTRG.850",4,7,3,7,3,2,6,4,10,1
"MSTRG.851",2,0,0,3,1,1,3,0,3,8
"MSTRG.852",4,3,5,4,13,9,4,10,12,33
"MSTRG.853",0,0,1,0,0,9,1,0,4,1
"MSTRG.854",0,0,0,0,0,0,0,0,0,0
"MSTRG.855",0,3,15,1,0,61,18,4,19,33
"MSTRG.856",0,0,3,0,0,24,4,0,8,7
"MSTRG.857",0,0,16,0,0,72,15,1,8,25
"MSTRG.858",15,7,19,15,27,20,17,33,25,15
"MSTRG.859",0,0,0,0,0,0,0,0,0,0
"MSTRG.860",1941,1908,1475,2295,1825,1966,1691,1296,1957,1628
"MSTRG.861",2,0,0,3,3,3,2,2,1,0
"MSTRG.862",1820,1415,997,928,485,1217,1318,1349,1072,617
"MSTRG.863",0,0,1,3,0,1,3,5,3,6
"MSTRG.864",180,140,105,108,89,127,120,135,149,141
"MSTRG.865",184,194,158,191,289,276,225,330,270,337
"MSTRG.866",95,116,117,141,133,110,142,153,156,116
"MSTRG.867",4,3,3,2,2,6,6,4,3,4
"MSTRG.868",11,5,1,1,0,4,4,4,1,0
"MSTRG.869",4050,3580,3556,4250,2607,4752,3262,2644,3636,2776
"MSTRG.870",2,0,0,0,0,3,1,2,1,1
"MSTRG.871",102,184,299,580,1519,90,127,246,300,209
"MSTRG.872",392,391,421,445,380,487,437,408,485,331
"MSTRG.873",0,0,1,5,2,1,3,0,1,2
"MSTRG.874",675,582,280,362,167,509,471,381,628,390
"MSTRG.875",24,20,16,17,14,33,20,15,10,9
"MSTRG.876",1,0,0,0,1,1,0,1,1,1
"MSTRG.877",24,22,36,47,59,30,33,56,69,85
